model,roc_auc,pr_auc,accuracy,precision,recall,specificity,f1,brier,ece10
logistic_benchmark,0.6675044047855865,0.507372222627264,0.615686274509804,0.527027027027027,0.4431818181818182,0.7319474835886215,0.48148148148148145,0.222693457009473,0.07122609138981877
random_forest,0.6746870470885789,0.5287496983120772,0.6202614379084967,0.5577557755775577,0.27435064935064934,0.8533916849015317,0.367791077257889,0.21643167425899237,0.04943671343621643
gradient_boosting,0.675914348233823,0.5384928669282354,0.6300653594771242,0.5576036866359447,0.39285714285714285,0.7899343544857768,0.46095238095238095,0.2169172584801986,0.027484024098094632
