feature,odds_ratio,bootstrap_95pct_low,bootstrap_95pct_high,sign_stability
Age (per 10 years),1.399098440880365,1.339372917604364,1.4696303928506265,1.0
BMI (per 5 kg/m²),1.3302896299461577,1.2679622234151573,1.4189424420500387,1.0
Income-to-poverty ratio (per 1.0),0.9591228563795225,0.911011502142229,1.0160438511299783,0.9033333333333333
Sedentary time (per 60 min/day),1.0008716621734248,0.9774528409433437,1.0225790739720126,0.5233333333333333
Female vs male,0.6097972935877554,0.5226364955080063,0.7161434022253574,1.0
Other Hispanic vs Mexican American,1.001795920889784,0.6912343865641982,1.442547742942469,0.5533333333333333
Non-Hispanic White vs Mexican American,1.115946805688749,0.8197855925404623,1.507611875629601,0.7733333333333333
Non-Hispanic Black vs Mexican American,1.809442557873738,1.235572570034962,2.6816157208631037,1.0
Non-Hispanic Asian vs Mexican American,1.269466993904165,0.8013169123860912,2.0315340400876205,0.8666666666666667
Other / multiracial vs Mexican American,1.0983004796351639,0.7495297528135031,1.6518969878797103,0.6466666666666666
Former vs never smoker,1.0329939564690696,0.8478335490480906,1.2163690844368253,0.64
Current vs never smoker,1.124238107732119,0.9029918435491372,1.414314812635676,0.8533333333333334
