group,n,prevalence,roc_auc,pr_auc,accuracy,precision,recall_sensitivity,specificity,f1
Male,684,0.4064327485380117,0.6136283091753199,0.46350635660976447,0.5818713450292398,0.48773006134969327,0.5719424460431655,0.5886699507389163,0.5264900662251656
Female,846,0.39952718676122934,0.7168906956157108,0.5767527934614536,0.6430260047281324,0.59375,0.33727810650887574,0.8464566929133859,0.43018867924528303
