group,n,prevalence,roc_auc,pr_auc,accuracy,precision,recall_sensitivity,specificity,f1
Mexican American,104,0.38461538461538464,0.7515624999999999,0.5777433137186985,0.6634615384615384,0.6470588235294118,0.275,0.90625,0.38596491228070173
Other Hispanic,145,0.3310344827586207,0.693298969072165,0.47181988731653013,0.6551724137931034,0.4642857142857143,0.2708333333333333,0.845360824742268,0.34210526315789475
Non-Hispanic White,933,0.4008574490889603,0.6403623736045077,0.4722966310755026,0.5937834941050375,0.49206349206349204,0.4144385026737968,0.7137745974955277,0.44992743105950656
Non-Hispanic Black,181,0.4972375690607735,0.6982905982905984,0.6469741703135037,0.6740331491712708,0.6347826086956522,0.8111111111111111,0.5384615384615384,0.7121951219512195
Non-Hispanic Asian,75,0.3333333333333333,0.7048,0.4854960716600152,0.6533333333333333,0.46153846153846156,0.24,0.86,0.3157894736842105
Other / multiracial,92,0.42391304347826086,0.637155297532656,0.5309219786072559,0.5760869565217391,0.5,0.38461538461538464,0.7169811320754716,0.43478260869565216
