threshold,accuracy,precision,recall_sensitivity,specificity,f1,predicted_positive_rate
0.3,0.6071895424836601,0.507177033492823,0.8603896103896104,0.4365426695842451,0.6381697772426249,0.6830065359477124
0.3036,0.611764705882353,0.5106177606177607,0.8587662337662337,0.44529540481400437,0.6404358353510896,0.677124183006536
0.4,0.6189542483660131,0.5206508135168961,0.6753246753246753,0.5809628008752735,0.5879858657243816,0.5222222222222223
0.5,0.615686274509804,0.527027027027027,0.4431818181818182,0.7319474835886215,0.48148148148148145,0.338562091503268
0.6,0.5941176470588235,0.48847926267281105,0.17207792207792208,0.8785557986870897,0.2545018007202881,0.14183006535947712
