group,n,prevalence,roc_auc,pr_auc,accuracy,precision,recall_sensitivity,specificity,f1
18–29,218,0.13302752293577982,0.7370917715745302,0.37871660473169866,0.8715596330275229,0.6666666666666666,0.06896551724137931,0.9947089947089947,0.125
30–44,327,0.3211009174311927,0.7021450021450022,0.5479225920399518,0.7003058103975535,0.7058823529411765,0.11428571428571428,0.9774774774774775,0.19672131147540983
45–59,310,0.45806451612903226,0.6182092555331992,0.5384116379303763,0.5806451612903226,0.5697674418604651,0.34507042253521125,0.7797619047619048,0.4298245614035088
60+,675,0.5037037037037037,0.5005179982440737,0.5000140000501341,0.5081481481481481,0.5097087378640777,0.6176470588235294,0.3970149253731343,0.5585106382978723
